bucket,prefixo,regiao,storage_class,tamanho_gb,idade_dias,num_objetos,preco_por_gb,custo_mensal_usd
data-lake-raw,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,1097.01,548,7897,0.00099,1.09
ml-datasets,raw/,sa-east-1,STANDARD,219.81,752,1387,0.0405,8.9
ml-datasets,raw/,sa-east-1,STANDARD,143.92,658,621,0.0405,5.83
ml-datasets,raw/,sa-east-1,STANDARD,247.0,677,1745,0.0405,10.0
ml-datasets,raw/,sa-east-1,STANDARD,190.28,723,538,0.0405,7.71
ml-datasets,raw/,sa-east-1,STANDARD,187.36,713,996,0.0405,7.59
ml-datasets,raw/,sa-east-1,STANDARD,212.21,621,1279,0.0405,8.59
ml-datasets,raw/,sa-east-1,STANDARD,221.77,757,1756,0.0405,8.98
ml-datasets,raw/,sa-east-1,STANDARD,198.47,771,1442,0.0405,8.04
ml-datasets,raw/,sa-east-1,STANDARD,119.21,631,648,0.0405,4.83
ml-datasets,raw/,sa-east-1,STANDARD,150.74,778,1920,0.0405,6.1
ml-datasets,raw/,sa-east-1,STANDARD,239.21,773,1521,0.0405,9.69
ml-datasets,raw/,sa-east-1,STANDARD,133.69,712,1160,0.0405,5.41
